,mean_error,std_error
base_error,0.00194595525862276,0.0012188864975300688
min_error,0.028671138396639418,0.006513911939607164
max_error,0.01639641724109179,0.00777901500625216
needle_tip_error,0.04449820433299113,0.01203898097911511
base_error_pixels,0.978608184419806,0.613127683368051
min_error_pixels,14.41949818944995,3.2856573338023867
max_error_pixels,8.247194482407604,3.913695761046489
needle_tip_error_pixels,22.373763947710565,6.037279308278316
absolute_angular_error,0.9493874652274782,1.1005973673599314
absolute_read_error,0.014953124999999992,0.01873298614869423
absolute_relative_read_error,0.003738281249999998,0.004683246537173558
