metric,mean,median
base_accuracy,0.9980540447413773,0.99800796812749
min_accuracy,0.9713288616033605,0.970887916967264
max_accuracy,0.9836035827589082,0.9848442176197928
needle_tip_accuracy,0.9555017956670089,0.9527909591093411
reading_accuracy,0.9962617187499999,0.9974125
base_error,0.00194595525862276,0.00199203187250996
min_error,0.028671138396639418,0.029112083032736144
max_error,0.01639641724109179,0.01515578238020726
needle_tip_error,0.04449820433299113,0.04720904089065901
base_error_pixels,0.978608184419806,1.0
min_error_pixels,14.41949818944995,14.593514081044678
max_error_pixels,8.247194482407604,7.615773105863909
needle_tip_error_pixels,22.373763947710565,23.769728648009426
absolute_angular_error,0.9493874652274782,0.7240050695655071
absolute_read_error,0.014953124999999992,0.010350000000000026
absolute_relative_read_error,0.003738281249999998,0.0025875000000000065
gauge_diameter,502.96875,503.0
iou,0.8827798225992322,0.8832743411395096
inference_time,1.3701784151681462,1.3262135982513428
